,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Time,Payment,cogs,gross margin percentage,gross income,Rating,Day,Date(dd-mm-yyyy),Month
22,22,22,22,22,22,22,635-40-6220,A,Yangon,Normal,Male,Health and beauty,89.6,8,35.84,752.64,11:28:00,Ewallet,716.8,4.761904762,35.84,6.6,Thursday,7/2/2019,February
23,23,23,23,23,23,23,817-48-8732,A,Yangon,Member,Female,Home and lifestyle,72.35,10,36.175,759.675,15:55:00,Cash,723.5,4.761904762,36.175,5.4,Sunday,20-01-2019,January
24,24,24,24,24,24,24,199-75-8169,A,Yangon,Member,Male,Sports and travel,15.81,10,7.905,166.005,12:27:00,Credit card,158.1,4.761904762,7.905,8.6,Wednesday,6/3/2019,March
25,25,25,25,25,25,25,877-22-3308,A,Yangon,Member,Male,Health and beauty,15.87,10,7.935,166.635,16:40:00,Cash,158.7,4.761904762,7.935,5.8,Wednesday,13-03-2019,March
26,26,26,26,26,26,26,232-11-3025,A,Yangon,Normal,Male,Sports and travel,78.77,10,39.385,827.085,10:04:00,Cash,787.7,4.761904762,39.385,6.4,Thursday,24-01-2019,January
27,27,27,27,27,27,27,382-03-4532,A,Yangon,Member,Female,Health and beauty,18.33,1,0.9165,19.2465,18:50:00,Cash,18.33,4.761904762,0.9165,4.3,Saturday,2/2/2019,February
28,28,28,28,28,28,28,287-21-9091,A,Yangon,Normal,Male,Home and lifestyle,74.67,9,33.6015,705.6315,10:55:00,Ewallet,672.03,4.761904762,33.6015,9.4,Tuesday,22-01-2019,January
29,29,29,29,29,29,29,381-20-0914,A,Yangon,Member,Female,Fashion accessories,20.01,9,9.0045,189.0945,15:48:00,Credit card,180.09,4.761904762,9.0045,5.7,Saturday,12/1/2019,January
30,30,30,30,30,30,30,633-44-8566,A,Yangon,Member,Male,Food and beverages,49.38,7,17.283,362.943,20:35:00,Credit card,345.66,4.761904762,17.283,7.3,Wednesday,27-03-2019,March
31,31,31,31,31,31,31,504-35-8843,A,Yangon,Normal,Male,Sports and travel,42.47,1,2.1235,44.5935,16:57:00,Cash,42.47,4.761904762,2.1235,5.7,Wednesday,2/1/2019,January
32,32,32,32,32,32,32,873-51-0671,A,Yangon,Member,Female,Sports and travel,21.98,7,7.693,161.553,16:42:00,Ewallet,153.86,4.761904762,7.693,5.1,Thursday,10/1/2019,January
33,33,33,33,33,33,33,594-34-4444,A,Yangon,Normal,Male,Electronic accessories,97.16,1,4.858,102.018,20:38:00,Ewallet,97.16,4.761904762,4.858,7.2,Friday,8/3/2019,March
34,34,34,34,34,34,34,865-92-6136,A,Yangon,Normal,Male,Food and beverages,52.75,3,7.9125,166.1625,10:16:00,Ewallet,158.25,4.761904762,7.9125,9.3,Saturday,23-03-2019,March
35,35,35,35,35,35,35,212-62-1842,A,Yangon,Normal,Male,Food and beverages,58.26,6,17.478,367.038,16:44:00,Cash,349.56,4.761904762,17.478,9.9,Thursday,28-03-2019,March
36,36,36,36,36,36,36,704-48-3927,A,Yangon,Member,Male,Electronic accessories,88.67,10,44.335,931.035,14:50:00,Ewallet,886.7,4.761904762,44.335,7.3,Saturday,12/1/2019,January
37,37,37,37,37,37,37,630-74-5166,A,Yangon,Normal,Male,Sports and travel,62.13,6,18.639,391.419,20:19:00,Cash,372.78,4.761904762,18.639,7.4,Friday,22-03-2019,March
38,38,38,38,38,38,38,645-44-1170,A,Yangon,Member,Male,Home and lifestyle,58.07,9,26.1315,548.7615,20:07:00,Ewallet,522.63,4.761904762,26.1315,4.3,Saturday,19-01-2019,January
39,39,39,39,39,39,39,642-32-2990,A,Yangon,Normal,Female,Food and beverages,10.96,10,5.48,115.08,20:48:00,Ewallet,109.6,4.761904762,5.48,6.0,Saturday,2/2/2019,February
40,40,40,40,40,40,40,638-60-7125,A,Yangon,Normal,Female,Electronic accessories,99.56,8,39.824,836.304,17:03:00,Credit card,796.48,4.761904762,39.824,5.2,Thursday,14-02-2019,February
41,41,41,41,41,41,41,668-90-8900,A,Yangon,Normal,Female,Home and lifestyle,93.69,7,32.7915,688.6215,18:44:00,Credit card,655.83,4.761904762,32.7915,4.5,Sunday,10/3/2019,March
42,42,42,42,42,42,42,870-54-3162,A,Yangon,Normal,Female,Sports and travel,32.25,5,8.0625,169.3125,13:26:00,Cash,161.25,4.761904762,8.0625,9.0,Sunday,27-01-2019,January
43,43,43,43,43,43,43,802-70-5316,A,Yangon,Member,Female,Sports and travel,92.13,6,27.639,580.419,20:34:00,Cash,552.78,4.761904762,27.639,8.3,Wednesday,6/3/2019,March
44,44,44,44,44,44,44,700-81-1757,A,Yangon,Normal,Female,Electronic accessories,26.31,5,6.5775,138.1275,20:59:00,Credit card,131.55,4.761904762,6.5775,8.8,Friday,18-01-2019,January
45,45,45,45,45,45,45,354-39-5160,A,Yangon,Member,Female,Home and lifestyle,34.42,6,10.326,216.846,15:39:00,Cash,206.52,4.761904762,10.326,9.8,Monday,18-02-2019,February
46,46,46,46,46,46,46,575-30-8091,A,Yangon,Normal,Male,Sports and travel,72.5,8,29.0,609.0,19:25:00,Ewallet,580.0,4.761904762,29.0,9.2,Saturday,16-03-2019,March
47,47,47,47,47,47,47,239-10-7476,A,Yangon,Normal,Female,Home and lifestyle,77.95,6,23.385,491.085,16:37:00,Ewallet,467.7,4.761904762,23.385,8.0,Monday,21-01-2019,January
48,48,48,48,48,48,48,685-64-1609,A,Yangon,Member,Female,Fashion accessories,30.14,10,15.07,316.47,12:28:00,Ewallet,301.4,4.761904762,15.07,9.2,Sunday,10/2/2019,February
49,49,49,49,49,49,49,238-49-0436,A,Yangon,Normal,Male,Health and beauty,32.46,8,12.984,272.664,13:48:00,Credit card,259.68,4.761904762,12.984,4.9,Wednesday,27-03-2019,March
50,50,50,50,50,50,50,746-94-0204,A,Yangon,Normal,Male,Fashion accessories,83.24,9,37.458,786.618,11:56:00,Credit card,749.16,4.761904762,37.458,7.4,Tuesday,29-01-2019,January
51,51,51,51,51,51,51,782-95-9291,A,Yangon,Member,Male,Food and beverages,92.29,5,23.0725,484.5225,15:55:00,Credit card,461.45,4.761904762,23.0725,9.0,Wednesday,20-02-2019,February
52,52,52,52,52,52,52,275-28-0149,A,Yangon,Normal,Male,Sports and travel,63.69,1,3.1845,66.8745,16:21:00,Cash,63.69,4.761904762,3.1845,6.0,Monday,25-02-2019,February
53,53,53,53,53,53,53,101-17-6199,A,Yangon,Normal,Male,Food and beverages,45.79,7,16.0265,336.5565,19:44:00,Credit card,320.53,4.761904762,16.0265,7.0,Wednesday,13-03-2019,March
54,54,54,54,54,54,54,687-47-8271,A,Yangon,Normal,Male,Fashion accessories,98.98,10,49.49,1039.29,16:20:00,Credit card,989.8,4.761904762,49.49,8.7,Friday,8/2/2019,February
55,55,55,55,55,55,55,796-32-9050,A,Yangon,Normal,Male,Food and beverages,51.28,6,15.384,323.064,16:31:00,Cash,307.68,4.761904762,15.384,6.5,Saturday,19-01-2019,January
56,56,56,56,56,56,56,105-31-1824,A,Yangon,Member,Male,Sports and travel,69.52,7,24.332,510.972,15:10:00,Credit card,486.64,4.761904762,24.332,8.5,Friday,1/2/2019,February
57,57,57,57,57,57,57,249-42-3782,A,Yangon,Normal,Male,Health and beauty,70.01,5,17.5025,367.5525,11:36:00,Ewallet,350.05,4.761904762,17.5025,5.5,Thursday,3/1/2019,January
58,58,58,58,58,58,58,827-26-2100,A,Yangon,Member,Male,Home and lifestyle,33.84,9,15.228,319.788,16:21:00,Ewallet,304.56,4.761904762,15.228,8.8,Thursday,21-03-2019,March
59,59,59,59,59,59,59,175-54-2529,A,Yangon,Member,Male,Food and beverages,22.17,8,8.868,186.228,17:01:00,Credit card,177.36,4.761904762,8.868,9.6,Sunday,3/3/2019,March
60,60,60,60,60,60,60,407-63-8975,A,Yangon,Normal,Male,Food and beverages,73.88,6,22.164,465.444,19:16:00,Ewallet,443.28,4.761904762,22.164,4.4,Saturday,23-03-2019,March
61,61,61,61,61,61,61,851-28-6367,A,Yangon,Member,Male,Sports and travel,15.5,10,7.75,162.75,10:55:00,Ewallet,155.0,4.761904762,7.75,8.0,Saturday,23-03-2019,March
62,62,62,62,62,62,62,586-25-0848,A,Yangon,Normal,Female,Sports and travel,12.34,7,4.319,90.699,11:19:00,Credit card,86.38,4.761904762,4.319,6.7,Monday,4/3/2019,March
63,63,63,63,63,63,63,400-60-7251,A,Yangon,Normal,Male,Home and lifestyle,74.07,1,3.7035,77.7735,12:50:00,Ewallet,74.07,4.761904762,3.7035,9.9,Sunday,10/2/2019,February
64,64,64,64,64,64,64,831-07-6050,A,Yangon,Normal,Male,Electronic accessories,32.71,5,8.1775,171.7275,11:30:00,Credit card,163.55,4.761904762,8.1775,9.9,Tuesday,19-03-2019,March
65,65,65,65,65,65,65,856-22-8149,A,Yangon,Normal,Female,Home and lifestyle,25.29,1,1.2645,26.5545,10:13:00,Ewallet,25.29,4.761904762,1.2645,6.1,Saturday,23-03-2019,March
66,66,66,66,66,66,66,749-24-1565,A,Yangon,Normal,Female,Health and beauty,23.03,9,10.3635,217.6335,12:02:00,Ewallet,207.27,4.761904762,10.3635,7.9,Thursday,3/1/2019,January
67,67,67,67,67,67,67,888-02-0338,A,Yangon,Normal,Male,Electronic accessories,26.23,9,11.8035,247.8735,20:24:00,Ewallet,236.07,4.761904762,11.8035,5.9,Friday,25-01-2019,January
68,68,68,68,68,68,68,802-43-8934,A,Yangon,Normal,Male,Home and lifestyle,18.28,1,0.914,19.194,15:05:00,Credit card,18.28,4.761904762,0.914,8.3,Friday,22-03-2019,March
69,69,69,69,69,69,69,319-74-2561,A,Yangon,Member,Female,Electronic accessories,94.64,3,14.196,298.116,16:55:00,Cash,283.92,4.761904762,14.196,5.5,Thursday,21-02-2019,February
70,70,70,70,70,70,70,213-72-6612,A,Yangon,Normal,Male,Food and beverages,43.25,2,4.325,90.825,15:56:00,Cash,86.5,4.761904762,4.325,6.2,Wednesday,20-03-2019,March
71,71,71,71,71,71,71,721-86-6247,A,Yangon,Normal,Female,Home and lifestyle,63.42,8,25.368,532.728,12:55:00,Ewallet,507.36,4.761904762,25.368,7.4,Monday,11/3/2019,March
72,72,72,72,72,72,72,157-13-5295,A,Yangon,Member,Male,Health and beauty,51.94,10,25.97,545.37,18:24:00,Ewallet,519.4,4.761904762,25.97,6.5,Saturday,9/3/2019,March
73,73,73,73,73,73,73,645-78-8093,A,Yangon,Normal,Female,Sports and travel,93.14,2,9.314,195.594,18:09:00,Ewallet,186.28,4.761904762,9.314,4.1,Sunday,20-01-2019,January
74,74,74,74,74,74,74,478-06-7835,A,Yangon,Normal,Male,Fashion accessories,89.69,1,4.4845,94.1745,11:20:00,Ewallet,89.69,4.761904762,4.4845,4.9,Friday,11/1/2019,January
75,75,75,75,75,75,75,540-11-4336,A,Yangon,Normal,Male,Food and beverages,24.94,9,11.223,235.683,16:49:00,Credit card,224.46,4.761904762,11.223,5.6,Friday,11/1/2019,January
76,76,76,76,76,76,76,448-81-5016,A,Yangon,Normal,Male,Health and beauty,59.77,2,5.977,125.517,12:01:00,Credit card,119.54,4.761904762,5.977,5.8,Monday,11/3/2019,March
77,77,77,77,77,77,77,217-58-1179,A,Yangon,Member,Male,Home and lifestyle,62.65,4,12.53,263.13,11:25:00,Cash,250.6,4.761904762,12.53,4.2,Saturday,5/1/2019,January
78,78,78,78,78,78,78,530-90-9855,A,Yangon,Member,Male,Home and lifestyle,47.59,8,19.036,399.756,14:47:00,Cash,380.72,4.761904762,19.036,5.7,Tuesday,1/1/2019,January
79,79,79,79,79,79,79,604-70-6476,A,Yangon,Member,Male,Fashion accessories,17.94,5,4.485,94.185,14:04:00,Ewallet,89.7,4.761904762,4.485,6.8,Wednesday,23-01-2019,January
80,80,80,80,80,80,80,799-71-1548,A,Yangon,Member,Male,Electronic accessories,77.72,4,15.544,326.424,16:11:00,Credit card,310.88,4.761904762,15.544,8.8,Monday,7/1/2019,January
81,81,81,81,81,81,81,290-68-2984,A,Yangon,Normal,Male,Home and lifestyle,23.75,4,4.75,99.75,11:22:00,Cash,95.0,4.761904762,4.75,5.2,Saturday,16-03-2019,March
82,82,82,82,82,82,82,704-11-6354,A,Yangon,Member,Male,Home and lifestyle,58.9,8,23.56,494.76,11:23:00,Cash,471.2,4.761904762,23.56,8.9,Sunday,6/1/2019,January
83,83,83,83,83,83,83,366-93-0948,A,Yangon,Member,Male,Electronic accessories,66.35,1,3.3175,69.6675,10:46:00,Credit card,66.35,4.761904762,3.3175,9.7,Thursday,31-01-2019,January
84,84,84,84,84,84,84,729-09-9681,A,Yangon,Member,Male,Home and lifestyle,25.91,6,7.773,163.233,10:16:00,Ewallet,155.46,4.761904762,7.773,8.7,Tuesday,5/2/2019,February
85,85,85,85,85,85,85,151-16-1484,A,Yangon,Member,Male,Electronic accessories,32.25,4,6.45,135.45,12:38:00,Ewallet,129.0,4.761904762,6.45,6.5,Wednesday,13-02-2019,February
86,86,86,86,86,86,86,850-41-9669,A,Yangon,Normal,Female,Electronic accessories,75.06,9,33.777,709.317,13:25:00,Ewallet,675.54,4.761904762,33.777,6.2,Tuesday,19-03-2019,March
87,87,87,87,87,87,87,447-15-7839,A,Yangon,Member,Female,Sports and travel,22.24,10,11.12,233.52,11:00:00,Cash,222.4,4.761904762,11.12,4.2,Saturday,9/2/2019,February
88,88,88,88,88,88,88,253-12-6086,A,Yangon,Member,Female,Sports and travel,98.4,7,34.44,723.24,12:43:00,Credit card,688.8,4.761904762,34.44,8.7,Tuesday,12/3/2019,March
89,89,89,89,89,89,89,144-51-6085,A,Yangon,Member,Male,Home and lifestyle,70.74,4,14.148,297.108,16:05:00,Credit card,282.96,4.761904762,14.148,4.4,Saturday,5/1/2019,January
90,90,90,90,90,90,90,731-14-2199,A,Yangon,Member,Female,Home and lifestyle,35.54,10,17.77,373.17,13:34:00,Ewallet,355.4,4.761904762,17.77,7.0,Friday,4/1/2019,January
91,91,91,91,91,91,91,126-54-1082,A,Yangon,Member,Female,Home and lifestyle,21.54,9,9.693,203.553,11:44:00,Credit card,193.86,4.761904762,9.693,8.8,Monday,7/1/2019,January
92,92,92,92,92,92,92,633-91-1052,A,Yangon,Normal,Female,Home and lifestyle,12.03,2,1.203,25.263,15:51:00,Cash,24.06,4.761904762,1.203,5.1,Sunday,27-01-2019,January
93,93,93,93,93,93,93,828-61-5674,A,Yangon,Member,Male,Sports and travel,44.02,10,22.01,462.21,19:57:00,Credit card,440.2,4.761904762,22.01,9.6,Wednesday,20-03-2019,March
94,94,94,94,94,94,94,136-08-6195,A,Yangon,Normal,Female,Home and lifestyle,69.96,8,27.984,587.664,17:01:00,Credit card,559.68,4.761904762,27.984,6.4,Friday,15-02-2019,February
95,95,95,95,95,95,95,490-29-1201,A,Yangon,Normal,Female,Sports and travel,15.34,1,0.767,16.107,11:09:00,Cash,15.34,4.761904762,0.767,6.5,Sunday,6/1/2019,January
96,96,96,96,96,96,96,667-92-0055,A,Yangon,Member,Male,Health and beauty,99.83,6,29.949,628.929,15:02:00,Ewallet,598.98,4.761904762,29.949,8.5,Monday,4/3/2019,March
97,97,97,97,97,97,97,565-17-3836,A,Yangon,Member,Female,Health and beauty,47.67,4,9.534,200.214,14:21:00,Cash,190.68,4.761904762,9.534,9.1,Tuesday,12/3/2019,March
98,98,98,98,98,98,98,430-60-3493,A,Yangon,Member,Female,Home and lifestyle,94.88,7,33.208,697.368,14:38:00,Cash,664.16,4.761904762,33.208,4.2,Sunday,3/2/2019,February
99,99,99,99,99,99,99,278-97-7759,A,Yangon,Member,Female,Electronic accessories,62.48,1,3.124,65.604,20:29:00,Cash,62.48,4.761904762,3.124,4.7,Monday,18-02-2019,February
100,100,100,100,100,100,100,316-68-6352,A,Yangon,Member,Female,Food and beverages,36.36,2,3.636,76.356,10:00:00,Cash,72.72,4.761904762,3.636,7.1,Monday,21-01-2019,January
101,101,101,101,101,101,101,744-02-5987,A,Yangon,Member,Male,Home and lifestyle,78.38,6,23.514,493.794,14:16:00,Ewallet,470.28,4.761904762,23.514,5.8,Thursday,10/1/2019,January
102,102,102,102,102,102,102,307-83-9164,A,Yangon,Member,Male,Home and lifestyle,60.01,4,12.002,252.042,15:54:00,Cash,240.04,4.761904762,12.002,4.5,Friday,25-01-2019,January
103,103,103,103,103,103,103,439-54-7422,A,Yangon,Normal,Female,Electronic accessories,51.19,4,10.238,214.998,17:15:00,Credit card,204.76,4.761904762,10.238,4.7,Monday,18-03-2019,March
104,104,104,104,104,104,104,411-77-0180,A,Yangon,Member,Male,Electronic accessories,72.2,7,25.27,530.67,20:14:00,Ewallet,505.4,4.761904762,25.27,4.3,Tuesday,26-03-2019,March
105,105,105,105,105,105,105,286-01-5402,A,Yangon,Normal,Female,Sports and travel,40.23,7,14.0805,295.6905,13:22:00,Cash,281.61,4.761904762,14.0805,9.6,Saturday,30-03-2019,March
106,106,106,106,106,106,106,803-17-8013,A,Yangon,Member,Female,Home and lifestyle,88.79,8,35.516,745.836,17:09:00,Cash,710.32,4.761904762,35.516,4.1,Sunday,17-02-2019,February
107,107,107,107,107,107,107,512-98-1403,A,Yangon,Member,Female,Electronic accessories,26.48,3,3.972,83.412,10:40:00,Ewallet,79.44,4.761904762,3.972,4.7,Thursday,21-03-2019,March
108,108,108,108,108,108,108,848-42-2560,A,Yangon,Normal,Female,Fashion accessories,81.91,2,8.191,172.011,17:43:00,Cash,163.82,4.761904762,8.191,7.8,Tuesday,5/3/2019,March
109,109,109,109,109,109,109,870-76-1733,A,Yangon,Member,Female,Food and beverages,14.23,5,3.5575,74.7075,10:08:00,Credit card,71.15,4.761904762,3.5575,4.4,Friday,1/2/2019,February
110,110,110,110,110,110,110,423-64-4619,A,Yangon,Member,Female,Health and beauty,15.55,9,6.9975,146.9475,13:12:00,Cash,139.95,4.761904762,6.9975,5.0,Thursday,7/3/2019,March
111,111,111,111,111,111,111,372-94-8041,A,Yangon,Normal,Male,Health and beauty,15.26,6,4.578,96.138,18:03:00,Ewallet,91.56,4.761904762,4.578,9.8,Friday,15-02-2019,February
112,112,112,112,112,112,112,563-91-7120,A,Yangon,Normal,Female,Fashion accessories,61.77,5,15.4425,324.2925,13:21:00,Cash,308.85,4.761904762,15.4425,6.7,Friday,8/3/2019,March
113,113,113,113,113,113,113,746-54-5508,A,Yangon,Normal,Male,Home and lifestyle,21.52,6,6.456,135.576,12:48:00,Credit card,129.12,4.761904762,6.456,9.4,Thursday,17-01-2019,January
114,114,114,114,114,114,114,815-11-1168,A,Yangon,Member,Male,Food and beverages,99.78,5,24.945,523.845,19:09:00,Cash,498.9,4.761904762,24.945,5.4,Saturday,9/3/2019,March
115,115,115,115,115,115,115,340-66-0321,A,Yangon,Member,Male,Electronic accessories,36.36,4,7.272,152.712,13:07:00,Cash,145.44,4.761904762,7.272,7.6,Monday,25-03-2019,March
116,116,116,116,116,116,116,634-97-8956,A,Yangon,Normal,Male,Food and beverages,32.9,3,4.935,103.635,17:27:00,Credit card,98.7,4.761904762,4.935,9.1,Sunday,17-02-2019,February
117,117,117,117,117,117,117,566-71-1091,A,Yangon,Normal,Male,Fashion accessories,77.02,5,19.255,404.355,15:59:00,Cash,385.1,4.761904762,19.255,5.5,Sunday,3/2/2019,February
118,118,118,118,118,118,118,442-48-3607,A,Yangon,Member,Male,Food and beverages,23.48,2,2.348,49.308,11:21:00,Credit card,46.96,4.761904762,2.348,7.9,Thursday,14-03-2019,March
119,119,119,119,119,119,119,527-09-6272,A,Yangon,Member,Female,Electronic accessories,28.45,5,7.1125,149.3625,10:17:00,Credit card,142.25,4.761904762,7.1125,9.1,Thursday,21-03-2019,March
120,120,120,120,120,120,120,898-04-2717,A,Yangon,Normal,Male,Fashion accessories,76.4,9,34.38,721.98,15:49:00,Ewallet,687.6,4.761904762,34.38,7.5,Tuesday,19-03-2019,March
121,121,121,121,121,121,121,150-89-8043,A,Yangon,Normal,Male,Sports and travel,44.65,3,6.6975,140.6475,15:04:00,Cash,133.95,4.761904762,6.6975,6.2,Thursday,14-02-2019,February
122,122,122,122,122,122,122,135-84-8019,A,Yangon,Normal,Female,Fashion accessories,77.93,9,35.0685,736.4385,16:10:00,Ewallet,701.37,4.761904762,35.0685,7.6,Wednesday,27-02-2019,February
123,123,123,123,123,123,123,441-94-7118,A,Yangon,Member,Male,Electronic accessories,71.95,1,3.5975,75.5475,12:14:00,Cash,71.95,4.761904762,3.5975,7.3,Monday,4/2/2019,February
124,124,124,124,124,124,124,531-80-1784,A,Yangon,Normal,Male,Electronic accessories,26.02,7,9.107,191.247,17:38:00,Cash,182.14,4.761904762,9.107,5.1,Thursday,28-03-2019,March
125,125,125,125,125,125,125,834-61-8124,A,Yangon,Normal,Male,Electronic accessories,51.69,7,18.0915,379.9215,18:22:00,Cash,361.83,4.761904762,18.0915,5.5,Saturday,26-01-2019,January
126,126,126,126,126,126,126,612-36-5536,A,Yangon,Member,Male,Food and beverages,80.96,8,32.384,680.064,11:12:00,Credit card,647.68,4.761904762,32.384,7.4,Sunday,17-02-2019,February
127,127,127,127,127,127,127,462-67-9126,A,Yangon,Normal,Male,Home and lifestyle,73.22,6,21.966,461.286,17:44:00,Cash,439.32,4.761904762,21.966,7.2,Monday,21-01-2019,January
128,128,128,128,128,128,128,468-88-0009,A,Yangon,Member,Male,Home and lifestyle,65.94,4,13.188,276.948,10:29:00,Cash,263.76,4.761904762,13.188,6.0,Sunday,24-03-2019,March
129,129,129,129,129,129,129,254-31-0042,A,Yangon,Member,Male,Electronic accessories,21.5,9,9.675,203.175,12:46:00,Credit card,193.5,4.761904762,9.675,7.8,Wednesday,6/3/2019,March
130,130,130,130,130,130,130,422-29-8786,A,Yangon,Normal,Female,Home and lifestyle,67.09,5,16.7725,352.2225,16:47:00,Credit card,335.45,4.761904762,16.7725,9.1,Thursday,3/1/2019,January
131,131,131,131,131,131,131,667-23-5919,A,Yangon,Member,Female,Fashion accessories,96.7,5,24.175,507.675,12:52:00,Ewallet,483.5,4.761904762,24.175,7.0,Monday,14-01-2019,January
132,132,132,132,132,132,132,289-15-7034,A,Yangon,Member,Male,Sports and travel,82.33,4,16.466,345.786,10:37:00,Credit card,329.32,4.761904762,16.466,7.5,Friday,11/1/2019,January
133,133,133,133,133,133,133,662-72-2873,A,Yangon,Normal,Female,Food and beverages,40.94,5,10.235,214.935,13:58:00,Ewallet,204.7,4.761904762,10.235,9.9,Sunday,6/1/2019,January
134,134,134,134,134,134,134,725-56-0833,A,Yangon,Normal,Female,Health and beauty,32.32,10,16.16,339.36,16:49:00,Credit card,323.2,4.761904762,16.16,10.0,Wednesday,20-02-2019,February
135,135,135,135,135,135,135,563-36-9814,A,Yangon,Member,Male,Electronic accessories,76.82,1,3.841,80.661,18:27:00,Ewallet,76.82,4.761904762,3.841,7.2,Wednesday,13-02-2019,February
